# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1559193248.781200170516968,0.02481,0.00087,0.00113,0.00142,0.00011,0.00117,0.02950
1559193248.879945278167725,0.03153,0.00069,0.00164,0.00112,0.00482,0.00099,0.04079
1559193248.980015277862549,0.00621,0.00023,0.00098,0.00052,0.00000,0.00051,0.00845
1559193249.080262899398804,0.02578,0.00056,0.00264,0.00074,0.00026,0.00127,0.03126
1559193249.180026054382324,0.01037,0.00029,0.00149,0.00037,0.00048,0.00055,0.01355
1559193249.279975175857544,0.00688,0.00021,0.00056,0.00036,0.00061,0.00048,0.00910
1559193249.380107641220093,0.00741,0.00024,0.00091,0.00034,0.00000,0.00051,0.00941
1559193249.480060815811157,0.02392,0.00086,0.00167,0.00087,0.00000,0.00134,0.02866
1559193249.580177545547485,0.01305,0.00035,0.00057,0.00032,0.00017,0.00070,0.01517
1559193249.679977416992188,0.01954,0.00052,0.00171,0.00027,0.00006,0.00097,0.02308
1559193249.780148267745972,0.01400,0.00048,0.00146,0.00036,0.00183,0.00098,0.01911
1559193249.880137681961060,0.01964,0.00068,0.00251,0.00072,0.00481,0.00116,0.02951
1559193249.980152845382690,0.02002,0.00051,0.00110,0.00034,0.00239,0.00088,0.02525
1559193250.080217838287354,0.00766,0.00029,0.00068,0.00020,0.00004,0.00044,0.00932
1559193250.180123329162598,0.01288,0.00048,0.00136,0.00034,0.00205,0.00084,0.01795
1559193250.280284166336060,0.02562,0.00051,0.00171,0.00022,0.00000,0.00079,0.02885
1559193250.380245685577393,0.01263,0.00041,0.00049,0.00021,0.00000,0.00076,0.01449
1559193250.480007886886597,0.01368,0.00044,0.00129,0.00024,0.00108,0.00078,0.01752
1559193250.581506967544556,0.01542,0.00046,0.00153,0.00032,0.00007,0.00093,0.01873
1559193250.679924488067627,0.01878,0.00047,0.00249,0.00028,0.00000,0.00093,0.02295
1559193250.779781103134155,0.01410,0.00047,0.00049,0.00025,0.00017,0.00092,0.01640
1559193250.879840373992920,0.02562,0.00053,0.00251,0.00015,0.00025,0.00080,0.02987
1559193250.979831457138062,0.01010,0.00030,0.00048,0.00007,0.00158,0.00080,0.01334
1559193251.080006599426270,0.00662,0.00031,0.00042,0.00012,0.00011,0.00050,0.00809
1559193251.180130004882812,0.02709,0.00048,0.00143,0.00021,0.00123,0.00075,0.03121
1559193251.279861927032471,0.00991,0.00032,0.00066,0.00018,0.00071,0.00065,0.01242
1559193251.380032300949097,0.01511,0.00053,0.00075,0.00039,0.00149,0.00100,0.01928
1559193251.479952096939087,0.01551,0.00051,0.00102,0.00044,0.00039,0.00094,0.01882
1559193251.580031394958496,0.01804,0.00051,0.00245,0.00046,0.00000,0.00117,0.02263
1559193251.679893970489502,0.01821,0.00052,0.00063,0.00050,0.00117,0.00096,0.02200
1559193251.779882192611694,0.01780,0.00054,0.00084,0.00041,0.00007,0.00095,0.02061
1559193251.879912614822388,0.02793,0.00051,0.00036,0.00030,0.00224,0.00139,0.03274
1559193251.979907751083374,0.03002,0.00058,0.00110,0.00030,0.00068,0.00081,0.03349
1559193252.079824209213257,0.00813,0.00023,0.00100,0.00008,0.00179,0.00045,0.01169
1559193252.179873943328857,0.01682,0.00041,0.00092,0.00028,0.00012,0.00062,0.01918
1559193252.279912471771240,0.03055,0.00057,0.00163,0.00047,0.00039,0.00100,0.03461
1559193252.380219221115112,0.01078,0.00036,0.00034,0.00019,0.00038,0.00068,0.01273
1559193252.480133295059204,0.02623,0.00051,0.00090,0.00037,0.00120,0.00096,0.03016
1559193252.580446004867554,0.01164,0.00035,0.00178,0.00024,0.00096,0.00075,0.01572
1559193252.680109024047852,0.03769,0.00035,0.00064,0.00028,0.00009,0.00124,0.04029
1559193252.780230283737183,0.01781,0.00030,0.00058,0.00007,0.00073,0.00081,0.02031
1559193252.880371332168579,0.03285,0.00037,0.00058,0.00010,0.00018,0.00075,0.03483
1559193252.980373144149780,0.01074,0.00025,0.00031,0.00005,0.00008,0.00048,0.01191
1559193253.080301761627197,0.00740,0.00023,0.00083,0.00008,0.00011,0.00081,0.00946
1559193253.180216550827026,0.02901,0.00066,0.00132,0.00015,0.00278,0.00101,0.03494
1559193253.280204534530640,0.01697,0.00055,0.00127,0.00032,0.00013,0.00129,0.02053
1559193253.380220890045166,0.02099,0.00066,0.00098,0.00029,0.00163,0.00175,0.02630
1559193253.480165958404541,0.02834,0.00053,0.00106,0.00018,0.00116,0.00113,0.03240
1559193253.580085992813110,0.01102,0.00033,0.00080,0.00015,0.00012,0.00077,0.01319
1559193253.680226802825928,0.03361,0.00083,0.00219,0.00010,0.00031,0.00108,0.03813
1559193253.780011415481567,0.01084,0.00036,0.00033,0.00006,0.00017,0.00074,0.01250
1559193253.880173444747925,0.02754,0.00041,0.00053,0.00007,0.00009,0.00084,0.02948
1559193253.980458736419678,0.01097,0.00031,0.00086,0.00005,0.00164,0.00069,0.01452
1559193254.080320119857788,0.02170,0.00054,0.00062,0.00030,0.00046,0.00131,0.02493
1559193254.180841684341431,0.00917,0.00024,0.00044,0.00012,0.00018,0.00057,0.01073
1559193254.280128479003906,0.03099,0.00068,0.00093,0.00018,0.00000,0.00102,0.03380
1559193254.380257368087769,0.01190,0.00040,0.00035,0.00015,0.00020,0.00083,0.01383
1559193254.480144739151001,0.01631,0.00053,0.00143,0.00021,0.00079,0.00145,0.02073
1559193254.580421686172485,0.02810,0.00052,0.00158,0.00028,0.00148,0.00127,0.03322
1559193254.680173158645630,0.01144,0.00042,0.00069,0.00028,0.00021,0.00089,0.01393
1559193254.780193090438843,0.00724,0.00029,0.00045,0.00021,0.00007,0.00077,0.00902
1559193254.880087614059448,0.00704,0.00023,0.00051,0.00013,0.00012,0.00055,0.00858
1559193254.980053186416626,0.00642,0.00030,0.00017,0.00012,0.00039,0.00052,0.00792
1559193255.080048084259033,0.00647,0.00034,0.00035,0.00014,0.00036,0.00067,0.00834
1559193255.180134057998657,0.01041,0.00034,0.00015,0.00019,0.00029,0.00075,0.01213
1559193255.279979944229126,0.02090,0.00078,0.00136,0.00027,0.00020,0.00123,0.02475
1559193255.380090236663818,0.01630,0.00045,0.00061,0.00015,0.00142,0.00073,0.01966
1559193255.480052709579468,0.01980,0.00042,0.00019,0.00024,0.00023,0.00103,0.02190
1559193255.580260753631592,0.01085,0.00035,0.00038,0.00016,0.00046,0.00077,0.01297
1559193255.680035114288330,0.02361,0.00045,0.00048,0.00022,0.00344,0.00074,0.02895
1559193255.780272960662842,0.01509,0.00053,0.00130,0.00060,0.00171,0.00103,0.02026
1559193255.880175590515137,0.02695,0.00084,0.00078,0.00066,0.00047,0.00132,0.03101
1559193255.980231046676636,0.01313,0.00044,0.00045,0.00045,0.00023,0.00089,0.01560
1559193256.080157279968262,0.00638,0.00023,0.00052,0.00013,0.00015,0.00054,0.00796
1559193256.180163145065308,0.03199,0.00087,0.00155,0.00048,0.00038,0.00205,0.03733
1559193256.280196666717529,0.01248,0.00036,0.00074,0.00023,0.00006,0.00105,0.01493
1559193256.380267381668091,0.01910,0.00061,0.00103,0.00033,0.00049,0.00166,0.02322
1559193256.480124235153198,0.01691,0.00057,0.00052,0.00020,0.00030,0.00150,0.02000
1559193256.580271720886230,0.01503,0.00058,0.00122,0.00009,0.00007,0.00114,0.01814
1559193256.680402278900146,0.02381,0.00052,0.00226,0.00009,0.00423,0.00076,0.03168
1559193256.780188083648682,0.00845,0.00026,0.00052,0.00021,0.00050,0.00054,0.01048
1559193256.880286455154419,0.02626,0.00051,0.00033,0.00027,0.00000,0.00087,0.02825
1559193256.980148553848267,0.00977,0.00030,0.00053,0.00019,0.00023,0.00076,0.01178
1559193257.080165147781372,0.03288,0.00065,0.00159,0.00041,0.00044,0.00124,0.03721
1559193257.180192470550537,0.01360,0.00040,0.00079,0.00017,0.00044,0.00084,0.01624
1559193257.280182123184204,0.02448,0.00073,0.00114,0.00023,0.00066,0.00102,0.02826
1559193257.380057096481323,0.01527,0.00048,0.00119,0.00008,0.00037,0.00091,0.01831
1559193257.480067968368530,0.02825,0.00065,0.00081,0.00010,0.00086,0.00130,0.03197
1559193257.580073595046997,0.01397,0.00043,0.00101,0.00011,0.00008,0.00089,0.01650
1559193257.679993867874146,0.02254,0.00042,0.00049,0.00009,0.00102,0.00081,0.02537
1559193257.782242298126221,0.00931,0.00027,0.00013,0.00013,0.00000,0.00058,0.01042
1559193257.880077123641968,0.02976,0.00059,0.00066,0.00026,0.00166,0.00100,0.03393
1559193257.980260610580444,0.01192,0.00036,0.00067,0.00022,0.00038,0.00083,0.01437
1559193258.080255270004272,0.00800,0.00023,0.00048,0.00013,0.00001,0.00054,0.00939
